worth=738    ingrid=ingrid_8, ingrid_9
worth=735    ingrid=ingrid_7, ingrid_8
worth=584    ingrid=ingrid_6, ingrid_8
worth=584    ingrid=ingrid_6, ingrid_7
worth=459    ingrid=ingrid_6, ingrid_9
worth=459    ingrid=ingrid_7, ingrid_9
worth=459    ingrid=ingrid_4, ingrid_6
worth=459    ingrid=ingrid_4, ingrid_8
worth=459    ingrid=ingrid_4, ingrid_9
worth=459    ingrid=ingrid_4, ingrid_7
worth=279    ingrid=ingrid_9, ingrid_10
worth=279    ingrid=ingrid_8, ingrid_10
worth=276    ingrid=ingrid_5, ingrid_7
worth=276    ingrid=ingrid_5, ingrid_8
worth=151    ingrid=ingrid_2, ingrid_7
worth=151    ingrid=ingrid_2, ingrid_5
worth=151    ingrid=ingrid_2, ingrid_8
worth=125    ingrid=ingrid_5, ingrid_6
worth=125    ingrid=ingrid_3, ingrid_6
worth=125    ingrid=ingrid_3, ingrid_5
worth=125    ingrid=ingrid_3, ingrid_7
worth=125    ingrid=ingrid_3, ingrid_8
